id,nom,sous_secteur,wilaya_name,contact_nom,contact_fonction,contact_email_personnel,contact_linkedin_personnel,raison
495,CNAS Béjaïa,assurance privée,Béjaïa,Belkacem Mafa,Directeur,,,"contact_nom sur 4 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
6049,CNAS,CNAS,Béjaïa,Belkacem Mafa,Directeur,,,"contact_nom sur 4 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
6512,CNAS,CNAS,Béjaïa,Belkacem Mafa,Directeur,,,"contact_nom sur 4 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
8190,CNAS,CNAS,Béjaïa,Belkacem Mafa,Directeur,,,"contact_nom sur 4 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
5402,CNAS,assurance privée,Alger,Yahia Rassoul,Directeur de la modernisation et des systèmes,,https://dz.linkedin.com/in/yahia-rassoul-2634708b,"contact_nom sur 18 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
5420,Rouiba Cnas,CNAS,Alger,Yahia Rassoul,Directeur de la modernisation et des systèmes,,https://dz.linkedin.com/in/yahia-rassoul-2634708b,"contact_nom sur 18 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
5482,CNAS,assurance privée,Alger,Yahia Rassoul,Directeur de la modernisation et des systèmes,,https://dz.linkedin.com/in/yahia-rassoul-2634708b,"contact_nom sur 18 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
5565,CNAS,CNAS,Illizi,Yahia Rassoul,Directeur de la modernisation et des systèmes,,https://dz.linkedin.com/in/yahia-rassoul-2634708b,"contact_nom sur 18 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
5727,CNAS,CNAS,Oran,Yahia Rassoul,Directeur de la modernisation et des systèmes,,https://dz.linkedin.com/in/yahia-rassoul-2634708b,"contact_nom sur 18 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
5791,CNAS CP1,assurance privée,Aïn Témouchent,Yahia Rassoul,Directeur de la modernisation et des systèmes,,https://dz.linkedin.com/in/yahia-rassoul-2634708b,"contact_nom sur 18 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
5821,CNAS,CNAS,Bouira,Yahia Rassoul,Directeur de la modernisation et des systèmes,,https://dz.linkedin.com/in/yahia-rassoul-2634708b,"contact_nom sur 18 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
7127,CNAS,CNAS,Alger,Yahia Rassoul,Directeur de la modernisation et des systèmes,,https://dz.linkedin.com/in/yahia-rassoul-2634708b,"contact_nom sur 18 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
7157,CNAS GUMAR,CNAS,El Oued,Yahia Rassoul,Directeur,,https://dz.linkedin.com/in/yahia-rassoul-2634708b,"contact_nom sur 18 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
7169,CNAS,CNAS,Mila,Yahia Rassoul,Directeur de la modernisation et des systèmes,,https://dz.linkedin.com/in/yahia-rassoul-2634708b,"contact_nom sur 18 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
8463,CNAS,CNAS,Tindouf,Yahia Rassoul,Directeur de la modernisation et des systèmes,,https://dz.linkedin.com/in/yahia-rassoul-2634708b,"contact_nom sur 18 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
9822,Cnas,CNAS,Alger,Yahia Rassoul,Directeur de la modernisation et des systèmes,,https://dz.linkedin.com/in/yahia-rassoul-2634708b,"contact_nom sur 18 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
10148,Cnas Staoueli,CNAS,Alger,Yahia Rassoul,Directeur de la modernisation et des systèmes,,https://dz.linkedin.com/in/yahia-rassoul-2634708b,"contact_nom sur 18 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
10711,CNAS kharouba,CNAS,Alger,Yahia Rassoul,Directeur de la modernisation et des systèmes,,https://dz.linkedin.com/in/yahia-rassoul-2634708b,"contact_nom sur 18 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
11084,crèche de la CNAS,CNAS,Alger,Yahia Rassoul,Directeur de la modernisation et des systèmes,,,"contact_nom sur 18 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
12289,CNAS,CNAS,El M'Ghair,Yahia RASSOUL,Directeur de la modernisation et des systèmes,,https://dz.linkedin.com/in/yahia-rassoul-2634708b,"contact_nom sur 18 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
12396,CNAS Tablat,CNAS,Médéa,Yahia Rassoul,Directeur de la modernisation et des systèmes,,https://dz.linkedin.com/in/yahia-rassoul-2634708b,"contact_nom sur 18 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
12585,CNAS,CNAS,Mila,Yahia Rassoul,Directeur de la modernisation et des systèmes,,https://dz.linkedin.com/in/yahia-rassoul-2634708b,"contact_nom sur 18 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
5476,CNAS,CNAS,Jijel,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-3b8089aa,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
5624,التأمين الاجتماعي,assurance privée,Djanet,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-3b8089aa,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
5777,Assurance CNAS,assurance privée,Bordj Bou Arreridj,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-3b8089aa,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
6170,CNAS,CNAS,Mila,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-26693881,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
6419,CNAS,CNAS,Béchar,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-26693881,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
6940,CNAS,CNAS,Relizane,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-26693881,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
6971,CNAS,CNAS,Souk Ahras,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-26693881,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
7149,CNAS,CNAS,Mostaganem,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-26693881,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
7258,CNAS,CNAS,Alger,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-26693881,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
7718,CNASSAT,CNAS,Tlemcen,Réda Moussi,,,https://dz.linkedin.com/in/reda-moussi-26693881,"contact_nom sur 24 entreprises, 2 secteurs différents : ['CNAS', 'assurance privée']"
